number,idex,x,y,,x*-1,y
1,1,-2,0,,2,0
2,3,-1,0,,1,0
3,8,1,0,,-1,0
4,10,2,0,,-2,0
5,11,0,-2,,0,-2
6,13,0,-1,,0,-1
7,18,0,1,,0,1
8,20,0,2,,0,2
9,21,4,1,,-4,1
10,22,3,1,,-3,1
11,23,2,1,,-2,1
12,24,1,1,,-1,1
13,25,-1,1,,1,1
14,26,-2,1,,2,1
15,27,-3,1,,3,1
16,28,-4,1,,4,1
17,29,4,0,,-4,0
18,30,3,0,,-3,0
19,31,-3,0,,3,0
20,32,-4,0,,4,0
21,33,4,-1,,-4,-1
22,34,3,-1,,-3,-1
23,35,2,-1,,-2,-1
24,36,1,-1,,-1,-1
25,37,-1,-1,,1,-1
26,38,-2,-1,,2,-1
27,39,-3,-1,,3,-1
28,40,-4,-1,,4,-1
29,41,3,2,,-3,2
30,42,2,2,,-2,2
31,43,1,2,,-1,2
32,44,-1,2,,1,2
33,45,-2,2,,2,2
34,46,-3,2,,3,2
35,47,3,-2,,-3,-2
36,48,2,-2,,-2,-2
37,49,1,-2,,-1,-2
38,50,-1,-2,,1,-2
39,51,-2,-2,,2,-2
40,52,-3,-2,,3,-2
41,53,3,3,,-3,3
42,54,2,3,,-2,3
43,55,1,3,,-1,3
44,56,-1,3,,1,3
45,57,-2,3,,2,3
46,58,-3,3,,3,3
47,59,3,-3,,-3,-3
48,60,2,-3,,-2,-3
49,61,1,-3,,-1,-3
50,62,-1,-3,,1,-3
51,63,-2,-3,,2,-3
52,64,-3,-3,,3,-3
53,65,0,3,,0,3
54,66,0,-3,,0,-3
55,83,5,1,,-5,1
56,84,-5,1,,5,1
57,85,6,1,,6,1
58,86,4,2,,-4,2
59,87,-4,2,,4,2
60,88,5,2,,5,2
61,89,4,3,,-4,3
62,90,-4,3,,4,3
63,91,5,-1,,-5,-1
64,92,-5,-1,,5,-1
65,93,6,-1,,6,-1
66,94,4,-2,,-4,-2
67,95,-4,-2,,4,-2
68,96,5,-2,,5,-2
69,97,4,-3,,-4,-3
70,98,-4,-3,,4,-3
71,99,5,-3,,5,-3
72,100,5,0,,-5,0
73,101,-5,0,,5,0
74,102,6,0,,6,0
75,103,5,3,,5,3
